Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,,,
resultfinal8,3,1,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.936570632,0.022148085,0.148028814,6.501534548,35.76609786,111.7337764,42.08076361,69.65301284,1.227843697,0.462425974,0.765417723,103.5033061,1.137398968,92.63385644,0.98245614,56,0,0,1,34,0.01754386,1,1,0.98245614,0.991150442,0.976926796,1,1,0.967032967,0.006467491,0.993532509,0.032967033,0.96978022,0.967032967,0.968083244,0.953322073,0.998266614,0.986070063,0.918037802,0.967032967,0,0,0,0,0,0,50626,142390,40024,96.7032967,33.33333333,?,,,
resultfinal8,3,2,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.95625,0.01282668,0.100409086,3.790501302,24.4431707,110.5866366,30.23197328,80.35466333,1.215237765,0.332219487,0.883018278,106.7452407,1.173024624,96.52634714,1,58,0.03030303,1,0.96969697,32,0,0,0.983050847,1,0.991452991,0.976351078,1,1,0.978021978,0.02022977,0.97977023,0.021978022,0.978208232,0.978021978,0.977961204,0.96534335,0.998669645,0.988814757,0.942996002,0.978021978,0,0,0,0,0,0,50626,142390,40024,98.9010989,34.06593407,?,,,
resultfinal8,3,3,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.957297044,0.013868415,0.111824515,4.098351754,27.22209537,110.5866366,58.24332396,52.34331265,1.215237765,0.640036527,0.575201238,106.3662405,1.168859786,96.18362922,0.982758621,57,0,0,1,33,0.017241379,1,1,0.982758621,0.991304348,0.976654471,0.99738767,0.998631637,0.978021978,0.001831502,0.998168498,0.021978022,0.982905983,0.978021978,0.979240091,0.967545702,0.998204177,0.99775423,0.948898835,0.978021978,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.6996337,?,,,
resultfinal8,3,4,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,90,1,0,98.9010989,1.098901099,0,0.978389931,0.007528435,0.085613965,2.224780037,20.84150797,110.5866366,15.46659877,95.12003785,1.215237765,0.169962624,1.045275141,108.2598727,1.189668931,97.89598097,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.989010989,9.16E-04,0.999084249,0.010989011,0.990384615,0.989010989,0.989269554,0.986923339,0.999269412,0.994440084,0.97124183,0.989010989,0,0,0,0,0,0,50626,142390,40024,98.9010989,33.33333333,?,,,
resultfinal8,3,5,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956583969,0.014679497,0.120832223,4.3380402,29.41489423,110.5866366,29.52388804,81.06274858,1.215237765,0.32443833,0.890799435,104.4980131,1.148329814,94.49425019,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978021978,0.005311355,0.994688645,0.021978022,0.978021978,0.978021978,0.978021978,0.972710623,0.997208469,0.989507382,0.93956044,0.978021978,0,0,0,0,0,0,50626,142390,40024,97.8021978,33.33333333,?,,,
resultfinal8,3,6,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,89,2,0,97.8021978,2.197802198,0,0.956583969,0.013154422,0.09858352,3.887354805,23.99876244,110.5866366,139.4036941,-28.81705752,1.215237765,1.531908727,-0.316670962,105.2903837,1.157037184,95.21076591,1,58,0,0,1,33,0,0,1,1,1,1,1,1,0.978021978,0.005311355,0.994688645,0.021978022,0.978021978,0.978021978,0.978021978,0.972710623,0.985591515,0.970297884,0.93956044,0.978021978,0.004,0,0.015625,0,15.625,0,50626,142390,40024,98.9010989,34.06593407,?,,,
resultfinal8,3,7,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.935169793,0.022190666,0.148214021,6.557717885,36.08060534,110.5866366,101.1455956,9.441041012,1.215237765,1.111490062,0.103747703,102.3534662,1.124763365,92.55500426,0.982758621,57,0.03030303,1,0.96969697,32,0.017241379,1,0.982758621,0.982758621,0.982758621,0.95245559,0.99477534,0.99731039,0.967032967,0.021145521,0.978854479,0.032967033,0.96978022,0.967032967,0.968024133,0.945417541,0.994146147,0.972481917,0.921050259,0.967032967,0,0,0,0,0,0,50626,142390,40024,96.7032967,33.33333333,?,,,
resultfinal8,3,8,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,817,91,88,3,0,96.7032967,3.296703297,0,0.936702991,0.022059783,0.148250749,6.519039828,36.08954633,110.5866366,214.8810375,-104.2944009,1.215237765,2.361330083,-1.146092318,104.0684697,1.143609557,94.10582766,0.965517241,56,0,0,1,33,0.034482759,2,1,0.965517241,0.98245614,0.954119923,0.995297806,0.997501054,0.967032967,0.002747253,0.997252747,0.032967033,0.976923077,0.967032967,0.969641298,0.949354484,0.992734189,0.959461687,0.92879257,0.967032967,0,0,0,0,0,0,50626,142390,40024,96.7032967,33.33333333,?,,,
resultfinal8,3,9,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,818,90,88,2,0,97.77777778,2.222222222,0,0.957091776,0.015125902,0.121525175,4.457654649,29.4919314,109.9297827,58.20387496,51.72590776,1.22144203,0.646709722,0.574732308,105.4728169,1.171920187,95.94562478,0.98245614,56,0,0,1,33,0.01754386,1,1,0.98245614,0.991150442,0.976504158,0.999468368,0.99969752,0.977777778,0.001874163,0.998125837,0.022222222,0.982716049,0.977777778,0.97900857,0.967306066,0.998646733,0.991916013,0.948847533,0.977777778,0,0,0,0,0,0,50626,142531,39883,97.77777778,33.33333333,?,,,
resultfinal8,3,10,weka.classifiers.bayes.NaiveBayesSimple,'',-1.48E+18,2.02E+07,818,90,90,0,0,100,0,0,1,8.47E-04,0.009196617,0.249757912,2.231850383,109.9297827,0.173933292,109.7558494,1.22144203,0.001932592,1.219509438,109.7558494,1.219509438,99.84177783,1,57,0,0,1,33,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,50626,142531,39883,100,33.7037037,?,,,
